number,value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
21,97.69570036088835,0.8017285863955047,0.01525501815180917,0.051860211889294,6,13,500,0.0009689663584201374,0.0003032296311467745,0.8681465439943041
22,99.83352798398359,0.8836795056282691,1.314252972972185,0.14556618669884944,4,16,450,1.5953122184496585e-05,0.0020791472580065254,0.6536997714040673
23,98.10146525592235,0.7396001945960043,0.5263828769685,0.07002851924166459,5,10,400,0.00031592132394230716,3.5615661015705046e-05,0.5091560990452557
24,97.56328906315396,0.8396490508574833,0.0501007284888982,0.024514047986783853,6,14,450,0.0029684000386182704,0.013233166494527585,0.9533930150570032
25,97.8003843753384,0.8497626954063511,0.5787128750261814,0.010457151542202118,6,12,450,0.00598753798041896,0.013536524706006725,0.8276235826994724
26,99.08252528829762,0.9295139327787804,1.3187281907193036,0.022203316753879997,9,20,400,5.527449997497351e-07,0.3194292051104629,0.8969673481997807
27,206.9030596252359,0.8072813545604789,2.655528068623084,0.0026163433331097023,7,16,100,7.712812511616774e-05,0.02788859032286562,0.7435463014977542
28,101.66375500133682,0.8565122554129693,3.5238497837116287,0.027756562071741445,6,18,300,1.5921437994345994e-05,3.846023015385306e-06,0.960555854215552
29,99.44976022342394,0.6956824755346231,0.4312123978201811,0.258776051437605,4,8,350,0.026738362627927028,0.0006337665565356945,0.6649439808527716
30,100.43314285805904,0.9268782005699933,2.159937169211637,0.009260348322641141,8,11,450,0.002847981017497621,0.007557935671616967,0.8244811489476258
31,97.59878411521186,0.7685430275467295,0.02421770575126049,0.04858443258756137,5,14,500,0.00018396759898931883,0.0003383004101066339,0.9584042723491136
32,98.22815766444728,0.7967437784572753,0.8085744103693608,0.030060739454058884,5,14,500,0.0001577099391414342,0.0012738585297926975,0.9470188619069831
33,98.18030147121324,0.7722569752836959,0.33702517542561905,0.14050860196949017,6,16,450,2.7398045788538023e-06,0.00013168928127483883,0.8826600457150858
34,98.68247961251105,0.8626769904132565,1.092534015187472,0.0655138742838806,7,13,500,0.05399919362480147,0.0001709070259187257,0.9823127352049306
35,97.75428007727645,0.8216986512160168,0.01928452607189113,0.03492096335598807,4,15,400,0.00034908300128414925,0.016048209457996957,0.931507762058805
36,102.76754408514496,0.6622150725018574,4.268381767504691,0.02128474672320569,9,18,150,3.488668511081573e-05,0.000685661609389565,0.9046109411316166
37,97.67353335906681,0.7103435493235871,0.3355151608364249,0.055534372981719836,5,9,300,5.7050606832300105e-06,0.002364005577862636,0.7659365340065988
38,98.21656374755175,0.630080890125442,0.7980894746431162,0.027317790199024968,6,13,450,0.0025173401331449446,0.1349547296342832,0.8402232598715197
39,98.02128742056782,0.7414818233757157,0.3089419293545873,0.1047373450606408,7,11,500,0.00014466735935078469,0.06370885130172411,0.7936391997700182
40,97.82397190040449,0.7778748971729812,0.007250058963767181,0.015769364316915408,8,6,250,0.009535983023270049,4.750142443062857e-05,0.6214081414351018
41,97.52627187093564,0.7637458944543314,0.2119488991076443,0.045251552581037156,5,14,500,0.0008970273498085469,0.0003120837688489033,0.9644572330400878
42,98.000177422008,0.8122611193959585,0.6321416537027412,0.042450079929186424,5,15,500,0.0005782410586941527,0.00020548613257208415,0.97699997026573
43,98.30917762556999,0.8693119859911316,0.3211543255956508,0.10262856163321694,4,17,450,0.0033412160322047486,0.00047844139747368913,0.9390954363070712
44,97.67407583226323,0.7545894451116077,0.20866115220721987,0.058798747200655706,5,14,500,9.26156154562568e-05,8.715818036388272e-05,0.5369568299273437
45,99.86962894598669,0.832876620560176,1.0312373129119639,0.03236541437452951,3,19,450,0.0012535228891169242,0.0010366447516172118,0.9794090383347009
46,97.50636038180357,0.6875236169692731,0.20605329450715,0.04427705819607358,6,13,350,0.02157872411357928,2.2552143481977456e-05,0.888078286337388
47,98.90270039062607,0.5538332346301194,0.490972819303998,0.007767641414515695,7,13,350,0.04411735525173165,6.323560863680354e-06,0.8942324656601413
48,98.12794685248453,0.6818962697263993,0.7651958025986489,0.012875988348086391,6,10,350,0.6197471785570129,5.657931618975666e-07,0.9994881177402931
49,106.54474209401083,0.729181408148259,0.22028815512534516,0.004279638322371859,6,16,400,0.016109371130108772,2.6419081286244004e-05,0.9220673264773017
