datetime,ghi,dni,dhi,temperature,relative_humidity,dew_point,wind_speed,wind_direction,surface_albedo,solar_zenith_angle,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,is_daytime
2020-02-28 17:30:00,0.00202020202020202,0.0,0.0033444816053511705,0.46518105849582175,0.7471472150039544,0.5699831365935918,0.11486486486486483,0.5027777777777778,0.7727272727272727,0.5097582945503678,0.017037086855465844,0.3705904774487397,0.9247318988762877,0.7638352476546191,0.9330127018922193,0.75,0.0
2020-02-28 18:30:00,0.0,0.0,0.0,0.4582172701949861,0.780815727036493,0.5699831365935918,0.15540540540540537,0.5277777777777778,0.7727272727272727,0.586548566281339,0.0,0.4999999999999999,0.9247318988762877,0.7638352476546191,0.9330127018922193,0.75,0.0
2020-02-28 19:30:00,0.0,0.0,0.0,0.4554317548746519,0.7974240198847589,0.5716694772344013,0.19594594594594592,0.5472222222222223,0.7727272727272727,0.6631136465996097,0.01703708685546579,0.6294095225512601,0.9247318988762877,0.7638352476546191,0.9330127018922193,0.75,0.0
2020-02-28 20:30:00,0.0,0.0,0.0,0.4526462395543176,0.8352728505253644,0.5767284991568296,0.22297297297297294,0.5638888888888889,0.7727272727272727,0.7362257919231348,0.0669872981077807,0.75,0.9247318988762877,0.7638352476546191,0.9330127018922193,0.75,0.0
2020-02-28 21:30:00,0.0,0.0,0.0,0.4498607242339833,0.8832900237261325,0.5851602023608768,0.23648648648648646,0.5750000000000001,0.7727272727272727,0.8015313016063654,0.14644660940672616,0.8535533905932737,0.9247318988762877,0.7638352476546191,0.9330127018922193,0.75,0.0
2020-02-28 22:30:00,0.0,0.0,0.0,0.44289693593314766,0.951191955711219,0.5919055649241146,0.23648648648648646,0.5861111111111111,0.7727272727272727,0.8524996246809788,0.24999999999999978,0.9330127018922192,0.9247318988762877,0.7638352476546191,0.9330127018922193,0.75,0.0
2020-02-28 23:30:00,0.0,0.0,0.0,0.435933147632312,0.9999999999999998,0.593591905564924,0.22297297297297294,0.5916666666666667,0.7727272727272727,0.8802732322474103,0.3705904774487392,0.9829629131445341,0.9247318988762877,0.7638352476546191,0.9330127018922193,0.75,0.0
2020-02-29 00:30:00,0.0,0.0,0.0,0.4345403899721449,0.9999999999999998,0.5919055649241146,0.2162162162162162,0.5972222222222222,0.7727272727272727,0.8779462543161687,0.5,1.0,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 01:30:00,0.0,0.0,0.0,0.4345403899721449,0.9922042707038752,0.5902192242833052,0.22297297297297294,0.6083333333333334,0.7727272727272727,0.8460441375168892,0.6294095225512604,0.9829629131445341,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 02:30:00,0.0,0.0,0.0,0.4345403899721449,0.9637329115354196,0.5851602023608768,0.2162162162162162,0.6138888888888889,0.7727272727272727,0.7924485812941,0.75,0.9330127018922194,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 03:30:00,0.0,0.0,0.0,0.4331476323119778,0.9545814032312732,0.5801011804384485,0.19594594594594592,0.6083333333333334,0.7727272727272727,0.7254916679177301,0.8535533905932737,0.8535533905932737,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 04:30:00,0.0,0.0,0.0,0.4317548746518106,0.9464467291831431,0.5767284991568296,0.18243243243243243,0.5944444444444444,0.7727272727272727,0.651478756943402,0.9330127018922193,0.75,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 05:30:00,0.0,0.0,0.0,0.4345403899721449,0.9187662411027002,0.5750421585160201,0.19594594594594592,0.5777777777777778,0.7727272727272727,0.5745383576039633,0.9829629131445341,0.6294095225512604,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 06:30:00,0.011111111111111112,0.0903846153846154,0.016722408026755852,0.44568245125348194,0.8603547621737655,0.5750421585160201,0.22297297297297294,0.5611111111111111,0.7727272727272727,0.49452034229094727,1.0,0.5,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 07:30:00,0.15252525252525254,0.5625,0.0802675585284281,0.4665738161559889,0.7940345723647044,0.5834738617200674,0.24324324324324317,0.5416666666666667,0.7727272727272727,0.42328479207326236,0.9829629131445341,0.3705904774487397,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 08:30:00,0.2787878787878788,0.34711538461538466,0.2625418060200669,0.4916434540389973,0.7252287877076036,0.5952782462057334,0.24324324324324317,0.5166666666666667,0.7727272727272727,0.3558024320672572,0.9330127018922194,0.2500000000000001,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 09:30:00,0.30505050505050507,0.09711538461538462,0.4280936454849498,0.5250696378830084,0.6559710767144955,0.6155143338954469,0.24324324324324317,0.5055555555555555,0.7727272727272727,0.2983035580243207,0.8535533905932737,0.14644660940672627,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 10:30:00,0.25555555555555554,0.020192307692307693,0.40468227424749165,0.5598885793871867,0.5936052423454976,0.6357504215851602,0.2702702702702703,0.5166666666666667,0.7727272727272727,0.2557423810238703,0.75,0.06698729810778065,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 11:30:00,0.3888888888888889,0.12884615384615386,0.5133779264214047,0.5877437325905293,0.49858773019997743,0.6340640809443507,0.28378378378378377,0.5305555555555556,0.7727272727272727,0.2335234949707251,0.6294095225512605,0.0170370868554659,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 12:30:00,0.5707070707070707,0.5432692307692308,0.3996655518394649,0.6016713091922006,0.44864987007117835,0.6306913996627318,0.26351351351351354,0.5305555555555556,0.7727272727272727,0.23517489866386426,0.5000000000000001,0.0,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 13:30:00,0.3515151515151515,0.125,0.46655518394648826,0.6002785515320335,0.458253304711332,0.6323777403035412,0.20945945945945943,0.5333333333333333,0.7727272727272727,0.260471400690587,0.37059047744873963,0.017037086855465844,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 14:30:00,0.398989898989899,0.3980769230769231,0.35785953177257523,0.5779944289693594,0.586374420969382,0.654300168634064,0.13513513513513511,0.5416666666666667,0.7727272727272727,0.30535955562227896,0.2500000000000001,0.06698729810778059,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 15:30:00,0.28888888888888886,0.5884615384615385,0.16220735785953178,0.5389972144846797,0.8009264489888146,0.6711635750421584,0.08783783783783783,0.5750000000000001,0.7727272727272727,0.3645098333583546,0.14644660940672644,0.14644660940672605,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 16:30:00,0.09898989898989899,0.15865384615384617,0.12040133779264214,0.5013927576601672,0.8056716755168907,0.6273187183811129,0.09459459459459459,0.6472222222222223,0.7727272727272727,0.43281789521092934,0.06698729810778081,0.24999999999999978,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,1.0
2020-02-29 17:30:00,0.0030303030303030303,0.02403846153846154,0.005016722408026756,0.48607242339832873,0.8217150604451473,0.6138279932546373,0.1216216216216216,0.7305555555555556,0.7727272727272727,0.5078816994445279,0.017037086855465844,0.3705904774487397,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 18:30:00,0.0,0.0,0.0,0.48607242339832873,0.8438594509095017,0.6188870151770657,0.18918918918918917,0.8055555555555556,0.7727272727272727,0.5847470349797328,0.0,0.4999999999999999,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 19:30:00,0.0,0.0,0.0,0.48050139275766024,0.8671336572138739,0.6188870151770657,0.25675675675675674,0.8583333333333334,0.7727272727272727,0.6612370514937698,0.01703708685546579,0.6294095225512601,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 20:30:00,0.0,0.0,0.0,0.46518105849582175,0.8596768726697548,0.5986509274873524,0.26351351351351354,0.8861111111111112,0.7727272727272727,0.7342741330130611,0.0669872981077807,0.75,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 21:30:00,0.0,0.0,0.0,0.4512534818941505,0.7907581064286522,0.5649241146711635,0.24999999999999997,0.8805555555555555,0.7727272727272727,0.7993544512835911,0.14644660940672616,0.8535533905932737,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 22:30:00,0.0,0.0,0.0,0.4512534818941505,0.699807931307197,0.5413153456998313,0.30405405405405406,0.8611111111111112,0.7727272727272727,0.8499474553370363,0.24999999999999978,0.9330127018922192,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-02-29 23:30:00,0.0,0.0,0.0,0.4582172701949861,0.6399276917862387,0.5328836424957841,0.35810810810810806,0.8472222222222222,0.7727272727272727,0.8774958714907672,0.3705904774487392,0.9829629131445341,0.9292074544093061,0.7564901576459847,0.9330127018922193,0.75,0.0
2020-03-01 00:30:00,0.0,0.0,0.0,0.46239554317548753,0.6339396678341429,0.536256323777403,0.3310810810810811,0.8333333333333334,0.7727272727272727,0.8750187659510584,0.5,1.0,0.9335560015774793,0.7490691672180035,1.0,0.5,0.0
2020-03-01 01:30:00,0.0,0.0,0.0,0.456824512534819,0.6895266071630324,0.5446880269814501,0.2972972972972973,0.8055555555555556,0.7727272727272727,0.8432667767602462,0.6294095225512604,0.9829629131445341,0.9335560015774793,0.7490691672180035,1.0,0.5,0.0
2020-03-01 02:30:00,0.0,0.0,0.0,0.4498607242339833,0.7190148005875041,0.5446880269814501,0.3310810810810811,0.775,0.7727272727272727,0.789821348145924,0.75,0.9330127018922194,0.9335560015774793,0.7490691672180035,1.0,0.5,0.0
2020-03-01 03:30:00,0.0,0.0,0.0,0.44707520891364905,0.7111060897073778,0.5396290050590219,0.36486486486486486,0.7555555555555555,0.7727272727272727,0.723089626182255,0.8535533905932737,0.8535533905932737,0.9335560015774793,0.7490691672180035,1.0,0.5,0.0
2020-03-01 04:30:00,0.0,0.0,0.0,0.4442896935933148,0.699694949723195,0.5328836424957841,0.3783783783783784,0.7444444444444445,0.7727272727272727,0.6491517790121604,0.9330127018922193,0.75,0.9335560015774793,0.7490691672180035,1.0,0.5,0.0
